operator;162
operator;162
satellite;158
users;144
users;143
operators;143
operators;143
routing;121
price;107
price;107
market;92
market;92
satellites;75
networks;74
game;72
game;72
revenue;64
revenue;64
network;63
utility;57
utility;57
traffic;57
stationary;57
stationary;55
prices;43
prices;43
vector;41
vector;41
wireless;40
algorithms;40
system;38
strategy;38
ieee;38
best;38
algorithm;37
strategy;35
leo;35
hence;35
will;34
point;34
response;33
response;33
protocol;33
hence;33
delay;33
based;33
will;32
topology;32
spectrum;31
spectrum;31
